	published_at	player_name	title	description	label
31	2019-11-21 19:41:59+00:00	Duke Johnson	Colts vs. Texans betting picks and predictions	From the opening kickoff to the final whistle we break down the best ways to wager the odds for the Thursday nighter. (AP)	d
32	2019-11-03 22:00:54+00:00	Duke Johnson	Barnwell's midseason NFL awards: Picking MVP, All-Pro teams, best rookies, more	The race for MVP is wide open, but the candidates are strong. Bill Barnwell picks the major award winners at the halfway point.	dd
33	2019-11-21 14:05:01+00:00	Duke Johnson	Texans vs. Colts odds, line: Thursday Night Football picks, predictions from top-rated model on 92-63 run	SportsLine's advanced computer model simulated Thursday's Colts vs. Texans game 10,000 times.	d
34	2019-11-21 15:03:17+00:00	Duke Johnson	Colts at Texans: Time, how to watch, live stream, odds, pick, what to know about Thursday Night Football	The Colts and Texans clash in a game that could decide the AFC South champion	d
35	2019-11-16 20:06:28+00:00	Duke Johnson	Injury Report: Week 11	John Daigle checks in on David Montgomery's ankle, Devonta Freeman's foot, and all of the injury situations to monitor heading into Week 11. (AP)	dd
36	2019-11-18 02:28:57+00:00	Duke Johnson	Mexico City’s Azteca Stadium gets another shot on Monday	A year after the NFL’s Chiefs-Rams game had to be moved to Los Angeles due to field conditions, all involved say the massive arena is ready for the Chargers and Chiefs.	d
37	2019-11-22 04:41:27+00:00	Duke Johnson	Nuk Scores Twice, Texans Win	Ryan McDowell covers the latest NFL news, including the Texans' crucial division win over the Colts on Thursday night. (Getty Images)	uu
38	2019-11-05 21:01:38+00:00	Duke Johnson	Fantasy Football Week 10 Cut List: Here's who to drop before waivers run	Not sure if you should say goodbye to a disappointing player on your roster? Our Cut List shows you which players to drop in 10-, 12- and 14-team leagues.	dd
39	2019-11-20 21:42:48+00:00	Duke Johnson	Texans vs. Colts odds, line: Thursday Night Football picks, predictions from top model on 92-63 run	SportsLine's advanced computer model simulated Thursday's Colts vs. Texans game 10,000 times.	d
40	2019-11-20 16:11:31+00:00	Duke Johnson	Colts at Texans prediction: How to watch, stream key AFC South matchup on Thursday night	The Colts and Texans are battling for first place in the AFC South	d
41	2019-11-05 04:55:57+00:00	Duke Johnson	NFL Week 9 grades: Texans earn an 'A' for London win, Patriots get a 'D,' Cowboys get 'B+' for Monday win	Here are the Week 9 grades for every team that play on Sunday and Monday	dd
42	2019-11-12 19:45:49+00:00	Duke Johnson	Week 11 Fantasy PPR RB Rankings	Kareem Hunt is a big riser in our Week 11 fantasy RB PPR rankings, while David Johnson remains the biggest question mark. See more potential sleeper and bust PPR running backs.	dd
43	2019-11-20 19:57:08+00:00	Duke Johnson	Fantasy Football Week 12 Running Back Preview: Jordan Wilkins returns, makes Colts backs tough to trust	Heath Cummings gives you everything you need to know about running back for Week 12 including how to handle the Indianapolis backfield.	d
44	2019-11-19 17:28:52+00:00	Duke Johnson	Fantasy Football Week 12 Waiver Wire: Slide Bo Scarbrough and Jonathan Williams into your starting lineup?	Another week, another couple of new names at running back to target. However, this week's options don't offer a lot of clarity, Jamey Eisenberg says.	d
45	2019-11-19 23:22:43+00:00	Duke Johnson	Fantasy Football Week 12 Running Back Preview: Waiver wire adds, matchups that matter, DFS plays and more	Heath Cummings gives you everything you need to know about running back for Week 12 including projections for the position.	d
46	2019-11-05 17:14:39+00:00	Duke Johnson	Fantasy Football Week 10 Waiver Wire: Daniel Jones, Ronald Jones can help you survive the bye weeks	With six teams on bye in Week 10, you're going to need more help than ever. Here are Jamey Eisenberg's top waiver wire targets for this week.	dd
47	2019-11-17 14:57:02+00:00	Duke Johnson	Fantasy Football Week 11 Running Back Preview: Miles Sanders could be a star if Jordan Howard is out	Heath Cummings gives you everything you need to know about Week 11 for the running back position, including how to handle the Eagles backfield.	dd
48	2019-11-28 16:11:59+00:00	Duke Johnson	Fantasy Football Week 13 Running Back Preview: Top matchups, DFS plays, Projections, and more	Heath Cummings gives you everything you need to know about running back for Week 13 including who to add off the waiver wire.	uu
49	2019-11-26 16:33:42+00:00	Duke Johnson	Fantasy Football Week 13 Running Back Preview: Waiver Wire adds, DFS plays, Projections, and more	Heath Cummings gives you everything you need to know about running back for Week 13 including who to add off the waiver wire.	uu
50	2019-12-01 16:32:25+00:00	Duke Johnson	Fantasy Football Running Back Preview: LeSean McCoy and Darrel Williams both in play for Week 13	Here's what you need to know about running back for Week 13, including how to handle the Chiefs with Damien Williams out.	uu
51	2019-11-25 16:41:15+00:00	Duke Johnson	Fantasy Football Rankings Week 13: Running back	Rashaad Penny and Benny Snell Jr. are shaking up our Week 13 fantasy RB rankings, and there are plenty of big-name backs ready to put up Thanksgiving fantasy points.	uu
52	2019-11-26 21:17:57+00:00	Duke Johnson	Week 12: AFC Targets & Touches	Jesse Pantuosco dissects the latest AFC volume trends in Week 12 Targets and Touches. (AP)	uu
53	2019-11-12 21:15:47+00:00	Duke Johnson	Week 10: AFC Targets & Touches	Jesse Pantuosco dissects the latest AFC volume trends in Week 10 Targets and Touches. (AP)	dd
54	2019-11-05 21:23:58+00:00	Duke Johnson	Week 9: AFC Targets & Touches	Jesse Pantuosco dissects the latest AFC volume trends in Week 9 Targets and Touches. (AP)	dd
55	2019-11-19 21:53:53+00:00	Duke Johnson	Week 11: AFC Targets & Touches	Jesse Pantuosco dissects the latest AFC volume trends in Week 11 Targets and Touches. (AP)	d
56	2019-11-03 19:01:33+00:00	Duke Johnson	Sexton-Oehser quick thoughts: Texans 26, Jaguars 3 - jaguars.com	Senior writer John Oehser and senior correspondent Brian Sexton both offer three quick thoughts on the Jaguars’ 26-3 loss to the Houston Texans in Week 9 of the 2019 season at Wembley Stadium in London Sunday	dd
57	2019-11-04 22:21:15+00:00	Duke Johnson	What’s wrong with the Browns and Odell Beckham Jr.?	Beckham is getting fewer targets in Cleveland, and that’s just the tip of the iceberg.	dd
58	2019-11-15 19:26:08+00:00	Duke Johnson	Week 11 Running Back Preview: Miles Sanders could be a star if Jordan Howard is out	Heath Cummings gives you everything you need to know about Week 11 for the running back position, including how to handle the Eagles backfield.	dd
59	2019-11-12 15:26:08+00:00	Duke Johnson	Week 11 Running Back Preview: Waiver wire adds, matchups that matter, DFS plays, and more	Heath Cummings gives you everything you need to know about Week 11 including the top waiver wire add.	dd
60	2019-11-14 16:24:10+00:00	Duke Johnson	Week 11 Running Back Preview: Matchups, injuries, projections, and everything else you need	Heath Cummings gives you everything you need to know about Week 11 for the running back position, starting with how to handle two of the position's biggest stars.	dd
61	2019-11-29 20:00:48+00:00	Duke Johnson	Fantasy Football Week 13 Running Back Preview: LeSean McCoy and Darrel Williams could both be in play	Here's what you need to know about running back for Week 13, including how to handle the Chiefs if Damien Williams is out.	uu
62	2019-11-13 12:00:14+00:00	Duke Johnson	Smoke ’em, pass ’em Week 11: The Packer trip	OK fantasy football advice for the lonely. The post Smoke ’em, pass ’em Week 11: The Packer trip appeared first on The Daily Dot.	dd
63	2019-11-04 23:41:55+00:00	Duke Johnson	The Starting 11: The NFL’s Race to the Bottom Keeps Reaching New Lows - The Ringer	The Starting 11: The NFL’s Race to the Bottom Keeps Reaching New Lows The Ringer Dolphins RB Mark Walton suspended four games for three offseason arrests ESPN Dolphins coach Flores finally gets a win Miami Herald What to know from NFL Week 9: The race to the …	dd
64	2019-11-10 23:54:17+00:00	Duke Johnson	Week 10 NFL insider notes: Bold teams that made trades already seeing payoff, a solution for Browns, and more	Minkah Fitzpatrick, Marcus Peters, Jalen Ramsey among many players who are making their teams better; call it trade karma	dd
65	2019-11-12 12:33:53+00:00	Duke Johnson	Fantasy intel for all 32 NFL teams ahead of Week 11	From Nick Chubb to Cooper Kupp, Mike Clay has the info you need to make fantasy football decisions for Week 11.	dd
66	2019-11-04 06:22:29+00:00	Duke Johnson	Week 9 Fantasy Wrap: What do we make of all that shaky quarterback play?	Dalton Del Don recaps every Week 9 game from Sunday's action, giving his analysis on all the shaky quarterback play.	dd
67	2019-11-15 18:55:08+00:00	Duke Johnson	Week 11 Yahoo DFS Running Back Picks: Save with value plays to spend elsewhere	John Evans looks at the slate of running backs and provides four to buy and one to fade in Yahoo Daily Fantasy in Week 11.	dd
68	2019-11-15 18:55:08+00:00	Duke Johnson	Week 11 Yahoo DFS Running Back Picks: Save on value plays to spend elsewhere	John Evans looks at the slate of running backs and provides four to buy and one to fade in Yahoo Daily Fantasy in Week 11.	dd
69	2019-11-21 18:52:33+00:00	Duke Johnson	How to stream Colts vs. Texans on Thursday Night Football	These strong but uneven AFC South teams face off for first place. The post How to stream Colts vs. Texans on Thursday Night Football appeared first on The Daily Dot.	d
70	2019-11-05 02:45:07+00:00	Duke Johnson	A black cat got loose on the field for Giants-Cowboys, and Twitter lost its mind	It was quite a scene on the field during Monday Night Football.	dd
71	2019-11-19 01:40:17+00:00	Duke Johnson	The Starting 11: The NFL’s Pass Interference Challenge Rule Is a Sham - The Ringer	The Starting 11: The NFL’s Pass Interference Challenge Rule Is a Sham The Ringer Ravens QB Lamar Jackson favored by Las Vegas to win MVP ESPN NFL winners, losers: The Baltimore Ravens rise while the Chicago Bears are a mess USA TODAY Lamar Jackson Dominated t…	d
72	2019-11-03 17:50:15+00:00	Duke Johnson	No looking back: Watson on point as Texans top Jags 26-3	Deshaun Watson's most impressive throw Sunday went backward — a flip under pressure to running back Carlos Hyde, whose 7-yard gain set up Houston's first TD in a 26-3 runaway over the Jacksonville Jaguars.	dd
73	2019-11-24 14:35:43+00:00	Duke Johnson	Fantasy Football Week 12: Updated PPR Lineup Cheat Sheet Rankings	Are you sure you're setting your best Fantasy lineup? Dave Richard went through every matchup and rated every player for Week 12 in PPR leagues.	uu
74	2019-11-15 14:00:00+00:00	Deshaun Watson	N.F.L. Week 11 Predictions: Our Picks Against the Spread - The New York Times	Lamar Jackson and the Ravens host Deshaun Watson and the Texans, while the Patriots, the Saints and the 49ers all try to get back to winning.	dd
75	2019-11-22 04:38:46+00:00	Deshaun Watson	DeAndre Hopkins' monster game gives Texans' huge playoff boost	Deshaun Watson connected with his All-Pro receiver on two long TD passes to put Houston in the driver's seat in the AFC South race.	uu
76	2019-11-03 20:36:27+00:00	Deshaun Watson	Popeyes chicken sandwich is back and people are officially freaking out	The wait is over. The Chick Fil-A shade is in the past. All that matters now is it's Nov. 3. That means the Popeyes chicken sandwich is back. And it's here to stay. The baffling hype around Popeyes chicken sandwich – I just don't how it's better than a three-…	dd
77	2019-11-03 15:54:45+00:00	Deshaun Watson	Deshaun Watson makes escape, finds Carlos Hyde to keep drive alive	Texans QB Deshaun Watson was hemmed in, but spotted his running back behind him and made a heads-up play that gained a first down.	dd
78	2019-11-04 17:18:10+00:00	Deshaun Watson	Texan’s Deshaun Watson credited Popeyes' spicy chicken sandwich for his ability to play through a nasty eye injury	Quarterback Deshaun Watson played through a brutal eye injury to lead his Houston Texans to victory in London Sunday, and he credited the Popeyes spicy chicken sandwich for his success. Watson sustained the blow to his eye last week when Oakland Raiders defen…	dd
79	2019-11-17 20:02:19+00:00	Deshaun Watson	Lamar's Legs CANNOT Be Stopped! - NFL	Lamar's Legs CANNOT Be Stopped! NFL Ravens vs. Texans: Live updates, game stats, highlights as Lamar Jackson, Deshaun Watson battle in Baltimore CBSSports.com How to watch Ravens vs. Texans: Week 11 game time, TV, odds and more Baltimore Sun Seth Roberts Goes…	uu
80	2019-11-04 14:55:56+00:00	Deshaun Watson	A Jaguars player was penalized for leading with his helmet on a tackle where he completely missed the opponent	via NFL Network/NFL Jacksonville Jaguars defensive end Calais Campbell was penalized by referees for leading with his head on a tackle of Deshaun Watson. However, Campbell completely missed Watson on the tackle and appeared to already be in motion to hit Wats…	dd
81	2019-11-15 15:00:00+00:00	Deshaun Watson	Fantasy Football Week 11 Rankings: Matchups We Love and Player Stat Projections	Lamar Jackson and Deshaun Watson are two of the most exciting players in the NFL, as well as two of the best quarterbacks in fantasy football...	dd
82	2019-11-05 16:41:29+00:00	Deshaun Watson	Dallas Cowboys believe black cat that ran onto field during 'Monday Night Football' was an omen of bad luck for the New York Giants	"A black cat ran onto the field during ""Monday Night Football,"" stopping the action between the New York Giants and Dallas Cowboys at MetLife Stadium. At the time, the Giants led the Cowboys 9-3, but many Cowboys players saw the moment as a sign of bad luck to…"	dd
83	2019-11-03 17:44:49+00:00	Deshaun Watson	Deshaun Watson handles the pressure with ease in Texansâ victory	Texans QB Deshaun Watson made all the right decisions, throwing for two TDs in the Texans' easy victory over the Jaguars in London.	dd
84	2019-11-17 21:11:17+00:00	Deshaun Watson	Texans show they're not one of AFC's top teams in blowout loss	The Deshaun Watson-Lamar Jackson showdown was a dud, as the Ravens dominated while the Texans once again fell way short against an AFC power.	uu
85	2019-11-03 17:42:13+00:00	Deshaun Watson	Houston Texans 26-3 Jacksonville Jaguars: Texans win last London game of 2019	The Houston Texans rounded off this year's NFL London Series with a 26-3 win over the Jacksonville Jaguars in front of 84,771 at Wembley.	dd
86	2019-11-14 15:55:56+00:00	Deshaun Watson	What we saw the last time Lamar Jackson faced Deshaun Watson	In a prime-time showdown between Louisville and Clemson, the two QBs combined for eight TDs and nearly 900 total yards. In it, we might have seen the future of the NFL.	dd
87	2019-11-26 12:00:03+00:00	Deshaun Watson	Ranking the Top 2019 Heisman Trophy Contenders Behind Joe Burrow	Another game, another 300-yard performance from LSU quarterback Joe Burrow.   As college football enters the final week of the 2019 regular season, the senior signal-caller is the clear favorite to win this year's Heisman Trophy...	uu
88	2019-11-22 04:18:27+00:00	Deshaun Watson	DeAndre Hopkins Catches 2 TDs as Texans Top Colts 20-17 to Take 1st in AFC South	The Houston Texans earned their most important victory of the season Thursday with a 20-17 win over the Indianapolis Colts at NRG Stadium...	uu
89	2019-11-22 15:35:58+00:00	Deshaun Watson	Kate Upton Fangirls Out at Texans Game, Verlander Gets Jumbotron Love	Kate Upton and Justin Verlander had the best seats in the house at the Houston Texans game on Thursday -- getting the ultimate VIP treatment... plus hugs from JJ Watt! The Houston Astros pitcher was being honored at NRG Stadium in Houston for…	uu
90	2019-11-14 21:20:12+00:00	Deshaun Watson	The ESPN Daily: Very good dog on the field, how the Knicks got into this mess, and the most random NHL jersey sightings	A daily rundown of the top stories in sports.	dd
91	2019-11-22 03:36:22+00:00	Deshaun Watson	Will Fuller's Updated Fantasy Stock After Return from Hamstring Injury vs. Colts	Will Fuller V returned to the lineup Thursday after a three-game absence and barely missed a beat.  Against the  Indianapolis Colts , the  Houston Texans  wide receiver was used early ...	uu
92	2019-11-28 02:17:35+00:00	Deshaun Watson	Stephon Gilmore Among 8 Patriots Players to Miss Practice with Flu-Like Illness	The New England Patriots had eight players miss the team's Wednesday practice with flu-like symptoms, per ESPN's  Mike Reiss .  Reiss listed cornerback Stephon Gilmore, safety Patrick Chung, linebackers Jamie Collins Sr...	uu
93	2019-11-15 21:21:20+00:00	Deshaun Watson	Eric Dickerson: Deshaun Watson will make the bigger MVP statement this Sunday — not Lamar Jackson	Eric Dickerson previews Baltimore Ravens vs Houston Texans. Hear why Eric thinks Deshaun Watson will make a stronger MVP statement than Lamar Jackson will.	dd
94	2019-11-21 21:47:30+00:00	Deshaun Watson	Cousin Sal thinks Deshaun Watson has 'something to prove' tonight on Thursday Night Football	Cousin Sal previews Thursday Night Football tonight. Hear why he thinks Houston Texans QB Deshaun Watson will come out firing tonight against the Indianapolis Colts.	uu
95	2019-11-22 05:13:00+00:00	Deshaun Watson	Colts fall 20-17 to Texans in battle for AFC South supremacy	Deshaun Watson threw two touchdown passes to DeAndre Hopkins, helping the Houston Texans beat the Indianapolis Colts 20-17 on Thursday night.	uu
96	2019-11-04 20:31:06+00:00	Deshaun Watson	Watson shines as Texans win to enter off week atop AFC South	Deshaun Watson shines for Houston with spectacular playmaking as Texans beat Jaguars 26-3 to enter off week atop AFC South	dd
97	2019-11-13 21:43:16+00:00	Deshaun Watson	Clay Travis: Take the Texans to beat the Ravens outright on Sunday	Clay Travis explains why Deshaun Watson and the Houston Texans will defeat Lamar Jackson's Baltimore Ravens in Week 11.	dd
98	2019-11-03 22:42:00+00:00	Deshaun Watson	NFL Week 9 grades: Texans get an 'A' for London win, Jets get an 'F' for ugly loss to Dolphins - CBSSports.com	NFL Week 9 grades: Texans get an 'A' for London win, Jets get an 'F' for ugly loss to Dolphins CBSSports.com What we learned from Sunday's Week 9 games NFL.com Deshaun Watson Says Popeyes Spicy Chicken Sandwich Healed His Eye Complex Traveling Texans taking o…	dd
99	2019-11-22 20:53:54+00:00	Deshaun Watson	Jason Whitlock: Deshaun Watson’s apparent fumble is proof replay is more annoyance than benefit to football	Jason Whitlock recaps the Indianapolis Colts vs Houston Texans and discusses the fumble by Texans quarterback Deshaun Watson that wasn't reviewed by officials and explains why replay should be overhauled.	uu
100	2019-11-21 15:13:51+00:00	Deshaun Watson	Greg Jennings: Deshaun Watson will be key to Texans success over Colts on Thursday night	Greg Jennings previews the Indianapolis Colts vs. Houston Texans Week 12 Thursday night matchup and explains why he believes quarterback Deshaun Watson won't repeat his poor performance from last week and will help lead the Texans to a win.	uu
101	2019-11-21 17:34:46+00:00	Deshaun Watson	Colin Cowherd likes the Texans to beat the Colts on Thursday Night Football because of one reason — Deshaun Watson	Colin Cowherd explains how even thought the Indianapolis Colts do everything right as a franchise, he still likes the Houston Texans to win tonight on Thursday Night Football on FOX because of Deshaun Watson.	uu
102	2019-11-17 23:16:56+00:00	Deshaun Watson	Watson after Texans’ 41-7 loss: ‘Flush it and move forward’	Houston’s Deshaun Watson outplayed by Baltimore’s Lamar Jackson in game billed as head-to-head battle of two multi-dimensional quarterbacks	uu
103	2019-11-14 22:04:59+00:00	Deshaun Watson	It’s Jackson vs. Watson in duel between Ravens and Texans	Ravens and Lamar Jackson take on Deshaun Watson and the Texans in a duel between first-place teams in the AFC	dd
104	2019-11-18 21:25:03+00:00	Deshaun Watson	Jason Whitlock: I’m done doubting Lamar Jackson	Jason Whitlock does his daily Whitlogue on Lamar Jackson. Whitlock reacts to Lamar dominating Deshaun Watson and the Houston Texans in Sunday's win.	uu
105	2019-11-21 21:34:59+00:00	Deshaun Watson	Jason Whitlock is not optimistic that Houston’s ‘Dark Knight’ QB rises against Indianapolis	Jason Whitlock breaks down why he expects Deshaun Watson to struggle for a 2nd straight week in a Thursday night match up against the Indianapolis Colts.	uu
106	2019-11-15 19:02:23+00:00	Deshaun Watson	Colin Cowherd: Lamar Jackson playing for superior organization gives him edge over Deshaun Watson	Colin Cowherd weighs in on whether Lamar Jackson is better than Deshaun Watson and wonders which quarterback has more of a future in the NFL.	dd
107	2019-11-05 14:41:35+00:00	Deshaun Watson	Jermaine Whitehead says threatening to kill a fan was 'totally out of character' in an apology after being cut from the Cleveland Browns	NFL safety Jermaine Whitehead apologized Tuesday morning for sending a series of threatening tweets. Whitehead, who was cut from the Cleveland Browns on Monday morning, had responded to tweets criticizing his performance following the Browns' 24-19 loss to th…	dd
108	2019-11-20 18:00:01+00:00	Deshaun Watson	NFL Week 12 Picks: Game Odds, Props, Lines and Over/Under Predictions	It's been an exciting and unpredictable  NFL  season so far, and Week 12 is shaping up to continue that trend...	uu
109	2019-12-01 12:30:03+00:00	Deshaun Watson	Week 14 NFL Picks: Odds Predictions and Top Prop Bets for Full Schedule	On Thursday, the New Orleans Saints clinched the NFC South title with a win over the Atlanta Falcons. The New England Patriots and San Francisco 49ers can join them as playoff certainties ...	uu
110	2019-11-08 18:41:26+00:00	Deshaun Watson	A former DII walk-on who went undrafted in the NFL and worked at a potato chip factory snagged 2 interceptions and became the Raiders' star in their 'Thursday Night Football' win	Oakland Raiders safety Erik Harris snagged two interceptions, one of which he took to the house, in his team's 26-24 victory over the Los Angeles Chargers Thursday night. Harris' big night was all the more impressive given his meandering path to the NFL. The …	dd
111	2019-11-14 22:42:00+00:00	Deshaun Watson	Lamar Jackson and Deshaun Watson set to square off in ‘new era’ of quarterbacks	Lamar Jackson and Deshaun Watson set to go head-to-head for first time since college.	dd
112	2019-11-29 19:21:01+00:00	Deshaun Watson	Patriots defense identifies the key to facing Texans QB DeShaun Watson	The Patriots defense identifies what they need to do to control DeShaun Watson.	uu
